time,ra.x1,ra.x2,ra.x3,ra.x4,ra.x5,ra.x6
215,1.04,2.98,3.13,1.22,1.5,1.6
216,1.03,2.97,3.13,1.22,1.5,1.6
217,1.03,2.97,3.13,1.21,1.49,1.6
218,1.03,2.97,3.13,1.21,1.49,1.6
219,1.03,2.97,3.13,1.21,1.49,1.6
220,1.03,2.96,3.12,1.21,1.49,1.59
221,1.02,2.96,3.12,1.2,1.48,1.59
222,1.37,2.96,3.12,1.2,1.48,1.59
223,1.39,2.96,3.12,1.2,1.48,1.59
224,1.4,2.96,3.11,1.2,1.48,1.59
225,1.4,2.96,3.11,1.2,1.48,1.58
226,1.4,2.95,3.1,1.19,1.48,1.58
227,1.4,2.95,3.1,1.19,1.47,1.58
228,1.39,2.95,3.1,1.19,1.47,1.58
229,1.39,2.95,3.1,1.21,1.47,1.57
230,1.39,2.94,3.1,1.21,1.47,1.57
231,1.39,2.94,3.09,1.21,1.46,1.57
232,1.39,2.94,3.09,1.2,1.46,1.57
233,1.38,2.94,3.09,1.2,1.46,1.56
234,1.38,2.94,3.25,1.2,1.46,1.56
235,1.38,2.93,3.24,1.2,1.46,1.56
236,1.38,2.93,3.25,1.19,1.45,1.56
237,1.37,2.93,3.24,1.19,1.45,1.56
238,1.37,2.93,3.24,1.19,1.45,1.55
239,1.37,2.92,3.24,1.19,1.45,1.55
240,1.37,2.92,3.24,1.19,1.45,1.55
241,1.36,2.92,3.24,1.18,1.44,1.55
242,1.36,2.92,3.23,1.18,1.44,1.54
243,1.36,2.92,3.23,1.18,1.44,1.54
244,1.36,2.9,3.22,1.18,1.44,1.54
245,1.35,2.91,3.27,1.17,1.43,1.54
246,1.35,2.91,3.27,1.17,1.42,1.54
247,1.35,0,3.26,1.17,1.43,1.53
248,1.35,0,3.26,1.17,1.43,1.53
249,1.34,0,3.26,1.17,0,1.53
250,1.34,0,3.26,1.16,0,1.53
251,1.34,0,3.25,1.16,0,1.53
252,1.34,0,3.25,1.16,0,1.53
253,1.33,0,3.25,1.15,0,1.9
254,1.33,0,3.25,1.15,0,1.89
255,1.33,0,3.25,1.15,0,1.91
256,1.33,0,3.24,1.15,0,1.91
257,1.32,0,3.24,1.15,0,1.9
258,1.32,0,3.24,1.14,0,1.89
259,1.32,0,3.24,1.14,0,1.89
260,1.32,0,3.23,1.14,0,1.88
261,1.32,0,3.23,1.13,0,1.88
262,1.31,0,3.23,1.13,0,1.87
263,1.31,0,3.22,1.13,0,1.87
264,1.31,0,3.22,1.13,0,1.86
265,1.31,0,3.22,1.13,0,1.86
266,1.3,0,3.21,1.12,0,1.85
267,1.3,0,3.21,1.12,0,1.85
268,1.3,0,3.21,1.12,0,1.84
269,1.64,0,3.21,1.12,0,1.84
270,1.64,0,3.2,1.12,0,1.83
